recommendation_code,section,category,WHO_domain,trigger_summary,recommendation,service_provider,source,apa_reference,source_type,source_link,requires_human_validation,key_program_tag,implementation_note,trigger_tags,priority_weight
UHC_001,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior has no PhilHealth status on record,Verify PhilHealth senior citizen membership or coverage through OSCA or PhilHealth LHIO.,"PhilHealth, OSCA, LHIO",PhilHealth Senior Citizens membership,Philippine Health Insurance Corporation. (n.d.). Senior citizens.,Philippine government health insurance program,https://www.philhealth.gov.ph/members/senior/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,philhealth_gap,2
UHC_002,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior is 60+ and PhilHealth coverage is unclear,Validate mandatory senior citizen coverage under PhilHealth and update the senior's record.,"PhilHealth, OSCA, LHIO",Mandatory PhilHealth coverage for senior citizens,Republic Act No. 10645. (2014). An Act Providing for the Mandatory PhilHealth Coverage for All Senior Citizens.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/60453,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,philhealth_gap,1
UHC_003,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior needs a primary care provider,Assist the senior in selecting or verifying a YAKAP/Konsulta clinic for primary-care access.,"PhilHealth YAKAP/Konsulta, RHU/BHC, OSCA",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,no_checkup,1
UHC_004,PhilHealth / Universal Health Care,healthcare_access,Environment,No regular checkup or checkup status unknown,Refer the senior to RHU/BHC or YAKAP/Konsulta provider for a primary-care consultation.,"RHU/BHC, PhilHealth YAKAP/Konsulta",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,no_checkup,2
UHC_005,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior has chronic condition and no consistent follow-up,Coordinate continuing primary-care follow-up through RHU/BHC or YAKAP/Konsulta provider.,"RHU/BHC, PhilHealth YAKAP/Konsulta",Universal Health Care Act,Republic Act No. 11223. (2019). Universal Health Care Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/86448,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,access_gap_chronic,3
UHC_006,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior needs preventive screening,Verify YAKAP/Konsulta primary-care benefit availability for preventive checkup and appropriate laboratory services.,"PhilHealth YAKAP/Konsulta, RHU/BHC",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,no_checkup,1
UHC_007,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior has medicine access difficulty,"Check YAKAP/GAMOT, RHU medicine assistance, or LGU medicine support availability for eligible medicines.","PhilHealth YAKAP/GAMOT, RHU/BHC, LGU",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,2
UHC_008,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior has difficulty understanding PhilHealth benefits,Provide assisted benefit verification through PhilHealth or hospital eligibility checking when care is needed.,"PhilHealth, hospital, OSCA",PhilHealth Senior Citizens membership,Philippine Health Insurance Corporation. (n.d.). Senior citizens.,Philippine government health insurance program,https://www.philhealth.gov.ph/members/senior/,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
UHC_009,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior has outpatient care needs,Refer to primary care provider network before specialist or hospital referral when appropriate.,"RHU/BHC, YAKAP/Konsulta provider",Universal Health Care Act,Republic Act No. 11223. (2019). Universal Health Care Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/86448,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_concern_present,1
UHC_010,PhilHealth / Universal Health Care,healthcare_access,Environment,Senior needs patient navigation,Refer to a Malasakit Center or primary-care provider for patient navigation and benefit information if hospital care is involved.,"Malasakit Center, PhilHealth, RHU/BHC",Malasakit Centers Act,Republic Act No. 11463. (2019). Malasakit Centers Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/92793,TRUE,Universal Health Care,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,multiple_unmet_needs,1
HLT_001,Health / Chronic Disease Referral,health,Intrinsic Capacity,Reported hypertension or high blood pressure,Refer to RHU/BHC for blood pressure monitoring and physician-led hypertension follow-up.,"RHU/BHC, DOH primary care provider",DOH PhilPEN protocol for hypertension and diabetes,Department of Health. (2012). Philippine Package of Essential Noncommunicable Disease Interventions: PhilPEN protocol on the integrated management of hypertension and diabetes in primary health care facilities.,Philippine public health protocol,https://www.foi.gov.ph/documents/25527/ao2012-0029.PDF,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_hypertension,4
HLT_002,Health / Chronic Disease Referral,health,Intrinsic Capacity,Reported diabetes or blood sugar concern,Refer to RHU/BHC or YAKAP provider for blood sugar monitoring and physician-led diabetes follow-up.,"RHU/BHC, YAKAP/Konsulta provider",DOH PhilPEN protocol for hypertension and diabetes,Department of Health. (2012). Philippine Package of Essential Noncommunicable Disease Interventions: PhilPEN protocol on the integrated management of hypertension and diabetes in primary health care facilities.,Philippine public health protocol,https://www.foi.gov.ph/documents/25527/ao2012-0029.PDF,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_diabetes,4
HLT_003,Health / Chronic Disease Referral,health,Intrinsic Capacity,Both hypertension and diabetes indicators are present,Flag for coordinated primary-care management rather than separate uncoordinated advice.,"RHU/BHC, DOH primary care provider",DOH PhilPEN protocol for hypertension and diabetes,Department of Health. (2012). Philippine Package of Essential Noncommunicable Disease Interventions: PhilPEN protocol on the integrated management of hypertension and diabetes in primary health care facilities.,Philippine public health protocol,https://www.foi.gov.ph/documents/25527/ao2012-0029.PDF,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_htn_dm,4
HLT_004,Health / Preventive Care,health,Intrinsic Capacity,Advanced age or no regular wellness follow-up,Refer to LGU/RHU senior health and wellness program when available.,"RHU/BHC, LGU health office",DOH senior citizen health program,Department of Health. (2015). Administrative Order No. 2015-0009: National Policy on the Health and Wellness Program for Senior Citizens.,Philippine public health policy,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/10/68161,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,preventive_due,1
HLT_005,Health / Medicine Access,health,Intrinsic Capacity,High medicine cost or maintenance medicine concern,Remind the senior to use the 20% senior citizen discount and VAT exemption for prescribed medicines.,"OSCA, pharmacy, prescribing provider",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,3
HLT_006,Health / Medicine Access,health,Intrinsic Capacity,Senior has difficulty buying medicines,"Verify RHU/LGU medicine assistance, YAKAP/GAMOT, AICS, or PCSO assistance as appropriate.","RHU/BHC, LGU, PhilHealth, DSWD, PCSO",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,2
HLT_007,Health / Medicine Access,health,Intrinsic Capacity,Senior cannot present purchase booklet for medicine/device discount,"Inform staff that purchase booklet is no longer required for senior medicine/device discount under current FDA circular, subject to valid senior ID and prescription rules.","Pharmacy, OSCA, FDA/DOH-regulated establishments",FDA removal of purchase booklet requirement for senior medicine/device discount,Food and Drug Administration. (2025). FDA Circular No. 2025-005: Delisting of purchase booklet from the checklist of requirements to avail of the 20% senior citizen discount on medicines and medical devices.,Philippine regulatory circular,https://www.fda.gov.ph/fda-circular-no-2025-005-delisting-of-purchase-booklet-from-the-checklist-of-requirements-to-avail-of-the-20-senior-citizen-discount-on-the-purchase-of-medicines-and-medical-devices-in-accordance-w/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
HLT_008,Health / Vaccination / Prevention,health,Intrinsic Capacity,Senior has vaccine-preventable risk concern,Verify senior citizen discount eligibility for influenza or pneumococcal vaccines when prescribed or available.,"RHU/BHC, pharmacy, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,preventive_due,1
HLT_009,Health / Dental,health,Intrinsic Capacity,"Dental concern, dentures concern, oral pain, or chewing difficulty",Refer to RHU/public dental service or accredited dental provider and verify senior citizen dental-service benefits.,"RHU/BHC, public dental service, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dental_concern,3
HLT_010,Health / Vision,health,Intrinsic Capacity,"Blurred vision, eye concern, or poor vision",Refer for eye screening and assess need for eyeglasses or cataract-related benefit verification.,"RHU/BHC, eye clinic, OSCA",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,vision_concern,3
HLT_011,Health / Vision,health,Intrinsic Capacity,Cataract-related concern or physician-advised cataract care,Verify PhilHealth cataract benefit pathway through an accredited provider after clinical assessment.,"PhilHealth-accredited facility, RHU referral",PhilHealth cataract benefit package,Philippine Health Insurance Corporation. (2025). Benefits Package for Extracapsular Cataract Extraction with Intraocular Lens Implantation.,Philippine health benefit package,https://www.philhealth.gov.ph/circulars/2025/PC2025-0001.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,vision_concern,2
HLT_012,Health / Hearing,health,Intrinsic Capacity,Hearing difficulty or hearing aid need,Refer for hearing assessment and possible hearing-aid assistance or discount verification.,"RHU/BHC, ENT/audiology provider, OSCA/MSWDO",Expanded Senior Citizens Act of 2010,Republic Act No. 9994. (2010). Expanded Senior Citizens Act of 2010.,Philippine law,https://lawphil.net/statutes/repacts/ra2010/ra_9994_2010.html,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,hearing_concern,3
HLT_013,Health / TB Referral,health,Intrinsic Capacity,Possible TB symptoms or TB-related concern,Refer to RHU or PhilHealth-accredited TB-DOTS provider for screening and treatment pathway.,"RHU/BHC, TB-DOTS provider",PhilHealth TB-DOTS Package,Philippine Health Insurance Corporation. (2014). PhilHealth TB DOTS Package.,Philippine health benefit package,https://www.philhealth.gov.ph/circulars/2014/circ14_2014.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_tb,4
HLT_014,Health / Dialysis,healthcare_access,Intrinsic Capacity,Kidney disease or dialysis need,Verify current PhilHealth dialysis benefits and additional assistance pathways.,"PhilHealth, accredited dialysis provider, MSWDO",PhilHealth benefits,Philippine Health Insurance Corporation. (n.d.). Benefits.,Philippine health benefit information,https://www.philhealth.gov.ph/benefits/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_kidney,4
HLT_015,Health / Dialysis,healthcare_access,Intrinsic Capacity,Senior undergoing hemodialysis,Verify current PhilHealth hemodialysis coverage through accredited providers.,"PhilHealth, accredited dialysis provider",PhilHealth expanded hemodialysis benefits,Philippine Health Insurance Corporation. (2025). PhilHealth's expanded benefits bring financial relief to patients undergoing hemodialysis.,Philippine health benefit update,https://www.philhealth.gov.ph/news/up/article/2025/news_67e9e793775ed.php,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_kidney,3
HLT_016,Health / Heart Disease,health,Intrinsic Capacity,Reported serious heart disease or cardiovascular concern,Refer to RHU/BHC or YAKAP provider for physician-led cardiovascular assessment and referral if needed.,"RHU/BHC, YAKAP provider",DOH PhilPEN protocol for hypertension and diabetes,Department of Health. (2012). Philippine Package of Essential Noncommunicable Disease Interventions: PhilPEN protocol on the integrated management of hypertension and diabetes in primary health care facilities.,Philippine public health protocol,https://www.foi.gov.ph/documents/25527/ao2012-0029.PDF,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_cardiac,4
HLT_017,Health / Heart Benefit Verification,healthcare_access,Intrinsic Capacity,Physician-confirmed heart surgery need,Verify possible PhilHealth Z Benefits coverage only after physician-confirmed diagnosis and accredited-provider assessment.,"PhilHealth-accredited hospital, PhilHealth",PhilHealth Z Benefits Package for Open Heart Surgeries,Philippine Health Insurance Corporation. (2025). Z Benefits Package for Open Heart Surgeries.,Philippine health benefit package,https://partners.philhealth.gov.ph/portal/assets/circulars/PC2025-0004.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_cardiac,2
HLT_018,Health / Cancer Screening,health,Intrinsic Capacity,Age-appropriate cancer screening need or family concern,Verify applicable cancer screening services through YAKAP/Konsulta provider or RHU referral.,"YAKAP/Konsulta provider, RHU/BHC",PhilHealth YAKAP / Konsulta primary care benefit,Philippine Health Insurance Corporation. (n.d.). PhilHealth YAKAP: Yaman ng Kalusugan Program.,Philippine government primary care program,https://www.philhealth.gov.ph/yakap/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_cancer,2
HLT_019,Health / Senior Wellness,health,Intrinsic Capacity,General health risk without urgent illness,Refer to RHU/LGU senior health program for age-appropriate wellness counseling and follow-up.,"RHU/BHC, LGU health office",DOH senior citizen health program,Department of Health. (2015). Administrative Order No. 2015-0009: National Policy on the Health and Wellness Program for Senior Citizens.,Philippine public health policy,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/10/68161,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,chronic_disease,1
HLT_020,Health / Clinical Safety,health,Intrinsic Capacity,Medical concern that requires professional evaluation,Use referral wording only: coordinate RHU/BHC or qualified provider assessment; do not give direct diagnosis or treatment instruction.,"RHU/BHC, qualified health provider",Universal Health Care Act,Republic Act No. 11223. (2019). Universal Health Care Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/86448,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_concern_present,2
MED_001,Medical Financial Assistance,healthcare_access,Environment,"Hospital bill, confinement, or hospital-based treatment cost",Refer to Malasakit Center if the hospital has one for coordinated medical and financial assistance.,"Malasakit Center, DOH hospital, PGH, participating agencies",Malasakit Centers Act,Republic Act No. 11463. (2019). Malasakit Centers Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/92793,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,3
MED_002,Medical Financial Assistance,healthcare_access,Environment,Senior is financially incapacitated while admitted,Use Malasakit Center patient navigation and referral pathway for benefit information and assistance.,"Malasakit Center, hospital social service",Malasakit Centers Act IRR / Joint implementing source,"Department of Health, Department of Social Welfare and Development, Philippine Charity Sweepstakes Office, & Philippine Health Insurance Corporation. (2020). Joint Administrative Order No. 2020-0001: Implementing Rules and Regulations of Republic Act No. 11463.",Philippine government joint administrative order,https://law.upd.edu.ph/wp-content/uploads/2021/04/DOH-DSWD-PCSO-PHIC-Joint-Administrative-Order-No-2020-0001.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,3
MED_003,Medical Financial Assistance,healthcare_access,Environment,"Major medical expenses, medicines, chemotherapy, dialysis, surgery, or diagnostic cost",Assist with PCSO Medical Assistance Program document preparation.,"PCSO, hospital social service, OSCA/MSWDO",PCSO Medical Assistance Program,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program.,Philippine government medical assistance program,https://www.pcso.gov.ph/ProgramsAndServices/CAD/MedicalAccessProgram.aspx,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,3
MED_004,Medical Financial Assistance,healthcare_access,Environment,Senior or family can submit online application,Assist with PCSO Online MAP application pathway if digital access is available.,"PCSO Online MAP, family/OSCA support",PCSO Medical Assistance Program Online Application System,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program Online Application System.,Philippine government medical assistance portal,https://onlinemap.pcso.gov.ph/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
MED_005,Medical Financial Assistance,healthcare_access,Environment,Medical expense is urgent and household has low capacity to pay,Refer to DSWD AICS medical assistance assessment through MSWDO/CSWDO.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,2
MED_006,Medical Financial Assistance,healthcare_access,Environment,Medical expense plus transportation barrier,Refer to AICS for possible medical and transportation assistance assessment.,"DSWD AICS, MSWDO/CSWDO",Assistance to Individuals in Crisis Situation,Department of Social Welfare and Development. (n.d.). AICS Program: Assistance to Individuals in Crisis Situation.,Philippine government crisis assistance program,https://aics.dswd.gov.ph/aics-program/,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,transport_barrier,2
MED_007,Medical Financial Assistance,healthcare_access,Environment,Cancer-related treatment cost,"Refer to PCSO MAP, Malasakit Center, DSWD AICS, or PhilHealth benefit verification depending on treatment setting.","PCSO, Malasakit Center, DSWD, PhilHealth",PCSO Medical Assistance Program,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program.,Philippine government medical assistance program,https://www.pcso.gov.ph/ProgramsAndServices/CAD/MedicalAccessProgram.aspx,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_cancer,3
MED_008,Medical Financial Assistance,healthcare_access,Environment,Expensive laboratory or diagnostic procedure,"Assess eligibility for PCSO MAP, AICS, or Malasakit Center assistance if financially difficult.","PCSO, DSWD AICS, Malasakit Center",PCSO Medical Assistance Program,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program.,Philippine government medical assistance program,https://www.pcso.gov.ph/ProgramsAndServices/CAD/MedicalAccessProgram.aspx,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,medical_cost_strain,1
MED_009,Medical Financial Assistance,healthcare_access,Environment,Assistive medical device prescribed and unaffordable,Verify PCSO MAP or AICS support pathway for medical device assistance if eligible.,"PCSO, DSWD AICS, MSWDO",PCSO Medical Assistance Program,Philippine Charity Sweepstakes Office. (n.d.). Medical Assistance Program.,Philippine government medical assistance program,https://www.pcso.gov.ph/ProgramsAndServices/CAD/MedicalAccessProgram.aspx,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,assistive_device_need,2
MED_010,Medical Financial Assistance,healthcare_access,Environment,Senior has hospital care but no clear benefits information,"Request hospital social service or Malasakit Center guidance on PhilHealth, PCSO, and DSWD assistance.","Hospital social service, Malasakit Center",Malasakit Centers Act,Republic Act No. 11463. (2019). Malasakit Centers Act.,Philippine law,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/2/92793,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,,1
MED_011,Medical Financial Assistance,healthcare_access,Environment,High-risk senior with multiple medical expenses,"Create combined assistance pathway: PhilHealth verification, Malasakit/PCSO/AICS referral, and OSCA document support.","OSCA, PhilHealth, MSWDO, PCSO, Malasakit Center",Malasakit Centers Act IRR / Joint implementing source,"Department of Health, Department of Social Welfare and Development, Philippine Charity Sweepstakes Office, & Philippine Health Insurance Corporation. (2020). Joint Administrative Order No. 2020-0001: Implementing Rules and Regulations of Republic Act No. 11463.",Philippine government joint administrative order,https://law.upd.edu.ph/wp-content/uploads/2021/04/DOH-DSWD-PCSO-PHIC-Joint-Administrative-Order-No-2020-0001.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,high_risk,2
MED_012,Medical Financial Assistance,healthcare_access,Environment,TB treatment or diagnostic access concern,Verify PhilHealth TB-DOTS package and RHU referral pathway.,"RHU/BHC, TB-DOTS provider, PhilHealth",PhilHealth TB-DOTS Package,Philippine Health Insurance Corporation. (2014). PhilHealth TB DOTS Package.,Philippine health benefit package,https://www.philhealth.gov.ph/circulars/2014/circ14_2014.pdf,TRUE,,Use as decision support only; verify eligibility and availability with OSCA/RHU/MSWDO/authorized office.,dx_tb,3
